In,Out,Date,Time,Branch,Group,Security Gate
1,0,9/15/2022,5:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,0,9/15/2022,5:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/15/2022,5:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,5:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
13,14,9/15/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
3,3,9/15/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,0,9/15/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,1,9/15/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/15/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,1,9/15/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/15/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
3,1,9/15/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,9/15/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/15/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
0,0,9/15/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,1,9/15/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
4,5,9/15/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,1,9/15/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
5,6,9/15/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,6,9/15/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
7,3,9/15/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,2,9/15/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
6,3,9/15/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,4,9/15/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,4,9/15/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,4,9/15/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
4,2,9/15/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
4,1,9/15/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,1,9/15/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
6,7,9/15/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
43,20,9/15/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
11,14,9/15/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
7,4,9/15/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
15,17,9/15/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
14,9,9/15/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
17,13,9/15/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
11,10,9/15/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,3,9/15/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
20,9,9/15/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,4,9/15/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,6,9/15/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,3,9/15/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,3,9/15/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
7,6,9/15/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
21,25,9/15/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
9,5,9/15/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,2,9/15/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,7,9/15/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/15/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,7,9/15/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/15/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,4,9/15/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
24,11,9/15/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/15/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,1,9/15/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,6,9/15/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
4,6,9/15/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
28,16,9/15/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
3,1,9/15/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
5,6,9/15/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/15/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,2,9/15/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
4,2,9/15/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,3,9/15/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,9,9/15/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
35,19,9/15/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
6,9,9/15/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,2,9/15/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
6,3,9/15/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
6,5,9/15/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
24,19,9/15/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
9,6,9/15/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,13,9/15/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
26,27,9/15/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
10,6,9/15/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
